,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
165,noise,1799.0,5999.0,70.01166861,4.1,3506.0,"ColorFit Caliber 2 Buzz Advanced BT Calling, 1.85"" display,10 days battery",Square,Black,Silicon,Yes,22.0,Yes,1.8 inches,20 - 35 g
166,noise,1799.0,3999.0,55.01375344,4.2,5970.0,X-Fit 2 (HRX Edition) Smart Watch with 1.69inch Display & 60 Sports Modes,Rectangle,Grey,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
167,boat,1799.0,7990.0,77.48435544,4.1,125524.0,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,Rectangle,Blue,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
168,boat,1699.0,5990.0,71.6360601,4.0,98388.0,"Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes",Rectangle,Black,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
169,boat,2499.0,8990.0,72.20244716,4.2,2893.0,"Wave Infinity with 1.85"" HD Screen, Functional Crown and Bluetooth Calling",Rectangle,Black,Silicon,Yes,22.0,Yes,1.9 inches,20 - 35 g
170,boat,3299.0,9799.0,66.33329932,4.1,13261.0,"Storm Pro Call with Bluetooth Calling, 1.78'' AMOLED Display and ASAP Charge",Rectangle,Red,Silicon,Yes,22.0,Yes,1.8 inches,20 - 35 g
171,boat,1499.0,5990.0,74.97495826,4.1,45492.0,Wave beat 1.69Inch HD display with complete health monitoring,Rectangle,Red,Silicon,Yes,22.0,Yes,1.6 inches,20 - 35 g
172,boat,2499.0,5990.0,58.28046745,4.2,39734.0,"Wave Connect with Bluetooth Calling, Voice Assistant and 1.69"" HD Display",Rectangle,Grey,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
173,boat,1299.0,6990.0,81.41630901,3.9,17456.0,Wave pro 1.69inch HD display withTemperature Sensor and live cricket updates,Rectangle,Purple,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
174,boat,1299.0,5990.0,78.31385643,4.1,619130.0,"Storm 1.3"" CurvedDisplay",Square,Blue,Thermo Plastic Polyurethene,Yes,22.0,Yes,1.3 inches,20 - 35 g
175,boat,1999.0,8999.0,77.78642071,3.9,6469.0,"Storm Pro with 1.78"" AMOLED Display, 700+ Active Modes",Rectangle,Black,Silicon,Yes,22.0,Yes,1.8 inches,20 - 35 g
176,boat,2499.0,7990.0,68.72340426,4.0,8179.0,Wave Arcade with 1.81 inch HD Display and Bluetooth Calling,Rectangle,Green,Silicon,Yes,22.0,Yes,1.8 inches,20 - 35 g
177,boat,3999.0,6990.0,42.78969957,4.2,628.0,"Wave Ultima with 1.8 inch Curve Arc HD Display, Bluetooth Calling with BT v5.3",Rectangle,Red,Silicon,Yes,22.0,Yes,1.8 inches,20 - 35 g
178,boat,2799.0,5990.0,53.2721202,3.9,2406.0,"Wave Select with 1.69"" HD Display, upto 10 Days Battery, HR & SpO2 Monitoring",Square,Green,Silicon,Yes,22.0,Yes,1.6 inches,20 - 35 g
179,boat,1999.0,6990.0,71.40200286,3.9,12026.0,"Watch Mercury 1.54"" TFTDisplay",Rectangle,Blue,Silicon,Yes,22.0,Yes,1.5 inches,20 - 35 g
